PH,AP,SOC,TN,TP,Population,age010,age6580,Temperature,Precipitation,DEM,Road,GDP,NDVI,Longitude,Latitude,Tetracyclines
7.86,0.0104,0.74,0.846,0.529,7710,13.08457241,9.074031291,18.64563,1069.089,1301,4.899508,5664,110,103.400494,23.363993,0.175519531
7.34,0.273,3.33,3.632,2.139,7710,13.08457174,9.074027812,18.62673,1068.504,1303,6.088622,5314,147,103.400353,23.358458,0
7.69,0.16,1.5,1.74,1.891,10592,13.0845632,9.074029589,18.28745,1064.535,1305,1.762083,1838,128,103.413743,23.354773,0.490884327
8.14,0.0398,1.17,1.375,0.737,759,13.08458712,9.074021308,18.16292,1065.048,1309,2.752035,4669,135,103.423443,23.355837,1.623221579
8.08,0.0151,0.58,0.728,0.392,759,13.08457255,9.074031621,18.16292,1065.048,1309,4.959511,4669,137,103.423917,23.354785,0.168730632
7.85,0.155,1.86,2.027,2.139,759,13.08457192,9.07402851,18.16292,1065.048,1309,2.752035,4669,120,103.423505,23.353245,0.217865329
6.99,0.0116,2.73,2.381,0.741,136,13.08455272,9.074050135,18.266,1070.079,1319,6.084193,2326,135,103.420845,23.345052,0.061601857
7.76,0.018,4.19,3.172,0.738,136,13.08458421,9.074017028,18.13991,1071.668,1319,6.084193,2326,178,103.421778,23.344693,0
8.11,0.00545,1.97,1.586,0.616,136,13.08455229,9.074034987,18.13991,1071.668,1319,6.084193,2326,126,103.421538,23.343772,0.167579207
6.06,0.592,2.53,2.58,4.487,2285,13.0845708,9.074040889,18.08803,1079.429,1330,5.415433,2626,137,103.425577,23.338866,0
7.81,0.172,1.76,1.848,2.749,226,13.0845694,9.074033196,17.93566,1090.895,1330,5.415433,2740,150,103.428966,23.332559,0.416514829
7.89,0.135,2.39,2.151,3.093,226,13.08459297,9.074035874,17.86782,1091.202,1341,7.474858,2205,153,103.430001,23.331089,0.219468292
7.29,0.399,1.89,2.467,2.946,226,13.08457317,9.074030944,17.86782,1091.202,1341,7.474858,2205,151,103.42991,23.326149,1.914940879
7.95,0.0394,4.32,3.762,2.414,10741,13.08457271,9.07402912,18.9049,1066.301,1308,8.657952,5332,140,103.392789,23.367504,0
8.01,0.0234,1.62,1.542,1.097,2265,13.08457195,9.074029888,18.9049,1066.301,1308,8.657952,5332,135,103.390481,23.367447,11.64097544
7.49,0.0479,4.62,3.462,1.247,10741,13.08457169,9.074029538,18.67043,1066.245,1307,12.89922,5188,83,103.39608,23.368481,42.22749163
8.2,0.0183,1.3,1.356,0.746,2265,13.08457195,9.074031302,18.9049,1066.301,1307,8.363558,5188,166,103.390006,23.372952,5.863176019
7.32,0.126,3.13,3.719,4.062,2265,13.08457098,9.074029539,18.9049,1066.301,1307,8.363558,5188,136,103.390593,23.372051,5.833742404
8.13,0.0512,3.27,2.618,1.73,10741,13.08457258,9.074029246,18.9049,1066.301,1308,8.657952,5332,168,103.391844,23.367686,3.112048079
8.09,0.023,1.13,1.2,0.738,2265,13.08457357,9.074027184,18.9049,1066.301,1307,8.363558,5188,93,103.390797,23.370473,0.83450454
8.05,0.0151,1.03,1.057,0.788,2265,13.08457074,9.074030295,18.9049,1066.301,1307,8.363558,5188,123,103.391065,23.368523,0.930451401
8.04,0.0405,3.13,2.873,1.589,10741,13.08457288,9.074029348,18.67043,1066.245,1308,4.899508,5664,142,103.39768,23.368016,0.861656048
7.76,0.00515,1.1,1.033,0.583,84,12.23401891,10.77649027,18.57705,1046.66,1312,1.280087,2450,145,103.326835,23.371059,0.084011174
8.08,0.0084,2.02,1.318,0.619,84,12.23401391,10.7764399,18.65573,1046.877,1312,1.280087,2682,115,103.330011,23.369783,0.24521502
7.19,0.0055,0.79,0.836,0.63,1688,13.08454273,9.07400619,18.65573,1046.877,1312,1.280087,2682,155,103.333805,23.368205,0.129700082
7.92,0.00555,0.79,0.827,0.54,84,12.23399127,10.77653812,18.65573,1046.877,1312,1.280087,2682,166,103.330184,23.373067,0.276028818
7,0.0073,1.11,1.026,0.61,1688,13.0846026,9.074019338,18.78249,1049.484,1314,3.678087,3462,145,103.339002,23.371823,0
7.76,0.0041,1.06,0.896,0.502,1688,13.08457078,9.074015764,18.78249,1049.484,1314,3.678087,3462,121,103.338542,23.370886,0.168026927
6.93,0.00114,0.92,0.83,0.464,1688,13.08456388,9.074040189,18.65573,1046.877,1314,3.678087,2682,156,103.337477,23.371077,0.208418314
7.83,0.0055,1.19,1.151,0.609,1688,13.08454346,9.074004199,18.65573,1046.877,1314,3.678087,2682,144,103.336437,23.372626,0.158087379
6.85,0.00105,1.72,1.555,0.556,1688,13.0845542,9.074068686,18.65573,1046.877,1314,1.280087,2682,155,103.335647,23.370792,0
7.97,0.00895,3.21,2.623,0.743,6439,13.08457091,9.074028743,19.31137,1060.666,1306,11.50637,5865,135,103.377968,23.369462,0.145860821
7.79,0.0131,5.38,3.841,0.72,6439,13.08457379,9.07403199,19.31137,1060.666,1306,11.50637,5488,127,103.375963,23.370499,0.259182983
8.04,0.0149,1.69,1.641,0.755,1382,13.08457634,9.074029233,19.31137,1060.666,1306,11.50637,5488,183,103.374968,23.371716,0.219595549
7.93,0.009,1.07,1.212,0.694,1382,13.08457014,9.074024271,19.31137,1060.666,1306,6.857973,5488,101,103.373566,23.373265,0.037683725
7.59,0.0177,1.32,1.15,0.664,1382,13.08457244,9.074028753,19.31137,1060.666,1306,6.857973,5488,166,103.374094,23.370706,0.167226411
7.65,0.0036,3.48,2.519,0.645,1382,13.08457851,9.074027542,19.31137,1060.666,1306,6.857973,5488,185,103.372814,23.368408,0.109064887
7.63,0.0136,4.22,2.793,0.777,6439,13.08457306,9.074027869,19.31137,1060.666,1306,13.29598,5239,197,103.375573,23.367164,0.126271925
7.55,0.0159,3.71,2.984,0.757,6439,13.08457386,9.074024265,19.31137,1060.666,1306,11.50637,5488,150,103.375738,23.369848,0.807122683
7.94,0.0181,5.97,4.712,0.679,1382,13.08457118,9.074031186,19.23812,1056.57,1309,6.857973,5488,158,103.369677,23.372917,0.090010058
7.9,0.0106,4.32,3.407,0.716,1382,13.08457042,9.074029826,19.23812,1056.57,1309,6.857973,5488,105,103.368985,23.371865,0.099360622
8.06,0.023,2.4,1.902,0.898,1382,13.084572,9.074031102,19.23812,1056.57,1309,6.857973,5488,149,103.368683,23.372765,0.183848961
8.07,0.0072,3.48,2.811,0.665,1382,13.08457282,9.074031074,19.23812,1056.57,1309,6.857973,5488,127,103.367614,23.370412,0
7.81,0.0322,3.3,2.855,1.114,1382,13.08457262,9.074030772,19.23812,1056.57,1309,6.857973,5213,150,103.366966,23.369845,2.432082599
7.8,0.008,3.06,2.886,0.569,754,13.08457288,9.074033282,19.23812,1056.57,1311,6.846397,5213,143,103.365053,23.368004,0.107942959
7.98,0.0187,3.7,2.93,0.837,754,13.08457231,9.074029103,19.2394,1060.251,1311,7.018392,5031,147,103.365581,23.366897,0.162664606
8.15,0.0179,1.45,1.43,0.809,754,13.08456939,9.074027978,19.23812,1056.57,1309,6.857973,5213,136,103.366378,23.371159,0.100198071
8.03,0.00855,2.31,2.077,0.629,5850,13.0845726,9.074027776,19.2394,1060.251,1311,7.189012,5031,149,103.36503,23.366493,0.23958751
7.67,0.0122,1.16,1.051,0.592,1018,13.08457148,9.07402574,19.14302,1049.481,1305,6.846397,5086,114,103.357285,23.37249,0.156947196
7.88,0.0112,3.71,2.363,0.669,754,13.08456951,9.074031893,19.14302,1049.481,1305,6.846397,5213,121,103.359749,23.370656,0.195998266
7.99,0.011,2.09,1.591,0.63,754,13.08456749,9.074030654,19.14302,1049.481,1305,6.846397,5213,105,103.360398,23.370083,0.022207721
7.86,0.0086,2.09,1.399,0.587,754,13.08457175,9.074030535,19.14302,1049.481,1305,6.846397,5213,109,103.361318,23.369387,0.09269145
8.19,0.0182,1.61,1.187,0.597,1018,13.08457248,9.074033074,19.14302,1049.481,1305,6.846397,5086,133,103.357433,23.368996,0.139766741
8.22,0.017,1.74,1.449,0.538,1018,13.0845725,9.074033952,19.14302,1049.481,1305,6.846397,5086,132,103.356948,23.368441,0.136373273
7.58,0.039,1.25,2.121,0.812,1646,12.0552755,12.30692588,17.10813,855.6016,1693,4.436623,24304,64,102.559531,24.355277,2.417675811
7.92,0.0217,3.51,3.636,1.027,1646,12.05527938,12.30691497,17.10813,855.6016,1693,4.436623,24304,125,102.558627,24.356249,1.294804438
7.85,0.0039,1.73,1.877,0.654,1646,12.05526607,12.30694131,17.10813,855.6016,1693,9.515894,24579,159,102.558539,24.358269,0.3101635
7.82,0.00478,2.18,2.263,0.898,1646,12.05528195,12.30691615,17.10813,855.6016,1693,4.436623,24304,124,102.559152,24.358047,0.378994859
8.03,0.0195,1.7,1.828,0.766,10165,12.05526853,12.30691597,17.31729,848.9111,1693,9.515894,24579,130,102.559606,24.359281,0.306179582
8.33,0.00642,1.78,1.387,0.475,10165,12.05528104,12.30691701,17.31729,848.9111,1693,6.608447,24579,139,102.561062,24.360175,0.123318341
7.76,0.00908,1.11,1.368,0.803,2333,12.05527714,12.30692126,17.37486,851.2452,1657,9.515894,25328,152,102.550843,24.362502,0.325043321
7.71,0.00516,4.25,4.483,0.796,1488,12.05527776,12.30692487,17.44374,840.1153,1636,6.956549,25152,186,102.555501,24.371126,0
7.47,0.00726,1.61,1.865,0.752,10635,12.05528534,12.30691312,17.44374,840.1153,1651,5.904275,25152,190,102.560268,24.371856,0.203131135
8.14,0.0223,2.23,2.532,0.962,1988,12.05527725,12.30692133,17.45633,844.6692,1636,6.383688,25089,166,102.549533,24.371582,0.294532238
7.86,0.0237,1.54,1.586,1.082,1988,12.05527851,12.30692149,17.48664,845.5639,1630,6.383688,25089,175,102.544784,24.371598,0.571423944
8.08,0.0205,1.35,1.58,0.628,2435,12.05527833,12.30692027,17.40986,835.8925,1633,8.080965,24801,111,102.557463,24.378695,0.068210247
8.02,0.00828,1.36,1.331,0.574,2435,12.05528364,12.30692599,17.4293,837.8714,1633,8.080965,24801,128,102.553963,24.379785,0.283500575
8.1,0.0316,0.73,0.964,0.708,842,12.05527799,12.30692406,17.33632,836.2292,1635,8.453661,24044,122,102.555684,24.386233,0.284400073
8.06,0.0072,0.36,1.645,0.488,842,12.05527577,12.30692522,17.34908,838.1415,1635,8.453661,24044,87,102.553514,24.385974,0.117849149
8.19,0.0169,2.77,2.896,0.985,3652,12.05528425,12.30691819,17.37247,837.3814,1634,5.573683,24779,137,102.543818,24.387142,0.132792745
7.75,0.0142,3.42,3.637,0.74,9179,12.05525469,12.30691642,17.10813,855.6016,1687,4.436623,24304,165,102.55746,24.350941,0.127099847
7.26,0.333,1.14,3.208,1.912,9179,12.05529394,12.30691875,16.97685,858.9465,1687,4.436623,24304,122,102.556367,24.350136,0.232165676
7.86,0.0228,1.65,1.506,1.078,1864,12.05527538,12.30691578,17.16973,856.3845,1647,6.125252,25703,153,102.543399,24.346536,0.153825736
7.37,0.0221,4.79,4.718,1.098,1864,12.0552831,12.3069233,17.16973,856.3845,1647,6.125252,25703,162,102.543875,24.345097,0.167489771
7.47,0.0265,0.57,0.883,0.866,983,12.05527636,12.30692073,17.16973,856.3845,1647,6.125252,25123,142,102.541342,24.345602,0.096029499
6.99,0.18,3.74,4.315,1.854,15499,12.05528075,12.3069124,16.95103,861.0277,1669,3.51337,24831,172,102.553106,24.338266,0
6.89,0.0224,2.02,2.115,1.052,15499,12.05527429,12.30691908,16.8754,861.5627,1669,3.51337,25009,192,102.555294,24.338457,0
5.53,0.167,4.55,4.47,1.49,15499,12.05526529,12.30691949,16.8754,861.5627,1669,3.51337,25009,185,102.557502,24.337656,0.144000224
5.75,0.405,4.32,4.446,1.75,272,12.05534615,12.306693,16.8754,861.5627,1704,3.51337,25009,144,102.559746,24.33768,0
7.86,0.0108,1.77,1.771,0.734,272,12.05526993,12.30690496,17.06107,859.3231,1648,6.448958,24141,186,102.538464,24.338742,0.532585441
6.06,0.0444,3.43,3.196,1.349,272,12.0552676,12.30691842,17.17822,855.5304,1648,6.448958,24141,189,102.537081,24.33851,0
7.86,0.0131,1,0.939,0.633,983,12.05528273,12.30692166,17.24101,855.7198,1639,7.517198,25726,172,102.536629,24.349755,0.023244957
7.25,0.0268,2.78,2.098,0.528,19430,12.05527563,12.30691309,17.28584,855.8526,1639,7.517198,25726,152,102.538479,24.350756,0
7.94,0.0485,3.5,2.953,1.526,844,12.05527407,12.30691469,17.33129,854.6882,1639,7.517198,25743,152,102.53262,24.352477,0.377961014
7.66,0.0476,2.65,3.167,1.807,844,12.05526404,12.30692279,17.33129,854.6882,1630,8.28006,25743,78,102.530371,24.352439,0.198578229
7.84,0.0356,1.4,1.524,0.909,19430,12.05527896,12.30692953,17.28584,855.8526,1639,7.517198,25726,122,102.537798,24.352544,0.049965834
7.66,0.0564,1.85,1.642,1.086,2739,12.05527456,12.30693407,17.17822,855.5304,1648,6.448958,25149,140,102.532441,24.336285,0.12386461
6.75,0.00175,2.97,3.201,0.8,2739,12.05528026,12.30689767,17.17822,855.5304,1682,7.002865,25149,106,102.53147,24.33537,0.107195937
7.48,0.0561,5.74,4.066,1.143,272,12.05528977,12.30692371,17.06107,859.3231,1648,6.448958,24141,109,102.537742,24.336782,0.209270562
7.05,0.291,2.56,2.842,2.267,693,12.05527282,12.30692224,17.17012,849.3977,1635,6.08336,14240,101,102.514393,24.33281,14.64626581
6.2,0.0354,2.31,1.971,1.071,1750,12.05526967,12.30694824,17.1586,848.8809,1634,4.065489,10258,158,102.508749,24.319478,0
7.77,0.0273,1.93,1.939,1.295,1750,12.05528707,12.30690298,17.1586,848.8809,1634,4.065489,10258,160,102.509361,24.318884,0.15001321
7.77,0.0833,2.34,2.258,0.94,665,12.05526078,12.30692642,17.1586,848.8809,1634,4.065489,10258,126,102.505629,24.319446,0
6.71,0.00048,0.88,0.796,0.373,37,12.05525723,12.30692351,16.82533,865.6264,1709,2.052491,10450,132,102.511841,24.290263,0.686969096
8.02,0.0269,0.54,0.472,1.171,37,12.05525723,12.30692351,16.82533,865.6264,1692,2.052491,10450,145,102.511554,24.289681,0.748277327
7.59,0.105,1.86,2.139,1.864,702,10.24445529,7.549274377,15.76317,871.0973,1921,5.344038,19342,166,102.807677,24.892622,1.103694625
6.95,0.225,1.69,2.052,3.043,630,10.24445051,7.549275231,15.77761,870.813,1927,5.344038,19342,118,102.811061,24.892057,2.107594267
5.74,0.258,2.23,2.767,2.894,4671,10.24446143,7.549272974,15.80804,866.1397,1916,3.889134,18677,136,102.809523,24.86915,0.654575275
7.27,0.3,2.60,2.834,3.355,4671,10.24445831,7.549273908,15.80804,866.1397,1916,3.889134,18677,129,102.812011,24.867252,42.18659283
6.50,0.278,2.56,2.978,3.731,119,10.24445711,7.54927662,15.77125,865.3225,1926,3.889134,18677,128,102.810193,24.864017,3.206156214
7.58,0.126,1.54,1.766,1.622,1475,10.24445555,7.54927394,15.68979,869.6853,1924,2.636704,19552,162,102.80239,24.820412,592.1211245
7.89,0.138,1.93,2.277,4.012,799,10.24448314,7.549260566,15.62738,869.9084,1947,2.636704,19552,151,102.800206,24.816391,50.49984392
7.78,0.0685,1.28,1.567,1.44,49,10.24447898,7.549286822,15.62738,869.9084,1947,4.830035,8111,151,102.797094,24.813915,9.271133459
7.59,0.0391,0.58,0.902,1.485,319,10.24445019,7.549257147,15.67009,866.1719,1923,0.794746,8111,149,102.791996,24.807006,27.09751818
7.44,0.175,1.27,1.68,2.852,482,10.24446615,7.549285093,15.67009,866.1719,1923,3.885081,8510,118,102.787798,24.802671,5.641792868
7.49,0.242,1.87,2.492,4.271,649,10.24445503,7.549274762,15.74002,862.3057,1946,4.062524,8510,117,102.785412,24.799652,6.039858061
7.59,0.197,2.72,2.81,5.469,482,10.24445279,7.549267223,15.68271,861.4014,1946,4.062524,8510,153,102.783789,24.800495,1.760793273
7.04,0.2,2.51,3.507,5.088,780,10.24445036,7.549264514,15.74002,862.3057,1946,4.062524,8510,124,102.781859,24.799,17.34386208
7.69,0.17,2.50,2.472,5.036,780,10.24445341,7.549277057,15.74002,862.3057,1946,4.062524,8510,107,102.780126,24.797764,13.33102466
7.73,0.157,1.16,1.467,4.322,140,10.24446798,7.549251582,15.80112,863.7336,1921,4.757393,8988,89,102.794718,24.779042,22.88710805
7.95,0.0701,1.66,1.536,1.928,213,10.24441689,7.549329919,15.85396,862.4487,1920,4.757393,8988,113,102.793583,24.773038,6.501653113
7.80,0.103,1.48,1.728,3.565,363,10.24449913,7.549224291,15.85396,862.4487,1920,4.757393,8988,102,102.790863,24.772805,11.37405094
7.99,0.0215,0.71,1.032,1.386,1008,11.36138391,12.73576972,15.75571,853.9462,1898,1.734057,1610,119,102.735734,24.752779,1.977158578
8.04,0.031,0.95,1.275,1.518,1008,11.36137698,12.73578463,15.75571,853.9462,1898,3.280606,2076,104,102.735803,24.750649,1.78330092
7.99,0.0392,1.23,1.679,1.429,137,11.36136091,12.73577618,15.80092,857.6934,1898,3.280606,2076,91,102.736365,24.74804,0.754087843
7.92,0.0272,1.07,1.455,1.398,137,11.36136637,12.73575815,15.80092,857.6934,1898,3.280606,2076,108,102.737556,24.746096,32.98034968
7.06,0.23,1.86,2.04,6.312,137,11.36140058,12.73575895,15.85238,858.8622,1898,7.323833,1593,95,102.740017,24.743263,83.57891079
7.29,0.468,4.07,4.704,4.666,214,11.36138066,12.7357406,15.88389,859.4117,1899,2.742363,1555,136,102.742923,24.740174,86.58828147
6.87,0.452,2.30,2.897,4.94,214,11.3613736,12.73574153,15.88389,859.4117,1899,2.742363,1555,118,102.744792,24.737838,5.280943769
7.38,0.0987,0.99,1.336,2.211,214,11.36138274,12.73574891,15.93948,860.3593,1899,3.110731,1555,115,102.749484,24.733355,5.977506632
7.42,0.108,1.03,1.256,2.152,801,11.36137443,12.7357476,15.92421,859.1606,1900,3.110731,1744,90,102.75247,24.735279,5.36257387
6.11,0.137,1.57,1.635,1.616,153,11.36134096,12.73572509,15.77445,857.5562,1893,2.35272,1661,132,102.706896,24.709553,0.809094184
5.17,0.151,1.78,2.046,1.634,200,11.36137593,12.73570248,15.82428,859.9414,1893,0.834426,1662,161,102.711139,24.708605,179.3570839
7.76,0.231,1.32,1.785,2.338,200,11.36132541,12.73578394,15.77445,857.5562,1891,2.790996,2036,114,102.710688,24.714549,5.718415797
7.22,0.0637,1.16,1.735,2.631,200,11.36140026,12.73573369,15.82436,860.741,1891,0.834426,1662,110,102.713318,24.712962,1.505347828
6.60,0.594,1.66,2.076,3.879,200,11.36136886,12.73577751,15.82436,860.741,1894,0.834426,1662,116,102.716307,24.711159,0.966045146
7.47,0.0843,1.97,2.818,2.505,243,11.36137339,12.73577841,15.82428,859.9414,1893,3.965337,2037,97,102.709804,24.7033,4.079104144
7.93,0.0489,2.05,2.488,1.714,175,11.36134907,12.73576005,15.80968,865.0023,1911,3.965337,2037,143,102.709853,24.699716,1.919697552
7.29,0.132,2.38,2.866,1.828,22,11.36137746,12.73578159,15.80968,865.0023,1911,2.0698,2037,88,102.706772,24.699015,0.995487671
7.95,0.122,3.74,3.762,1.984,22,11.36137001,12.73577387,15.85881,859.292,1892,2.0698,2037,101,102.702243,24.699204,0.855398561
7.90,0.0704,0.75,0.876,27.953,83,11.36133241,12.73577622,15.72324,869.732,1929,2.255616,1358,186,102.719123,24.692764,0.192232766
7.04,0.095,1.50,1.685,1.339,102,11.36140135,12.73576412,15.65938,875.299,1963,1.766458,1358,166,102.719918,24.690601,0.458489676
8.14,0.108,0.96,1.268,1.41,102,11.36138623,12.73576229,15.65938,875.299,1963,1.766458,1358,173,102.720386,24.687823,16.59886211
6.77,0.132,0.75,0.988,1.27,279,11.3613421,12.73579428,15.837,872.0544,1917,1.198293,1361,165,102.720879,24.681927,58.3610114
7.96,0.0378,1.66,1.959,2.458,279,11.36140595,12.73573153,15.837,872.0544,1917,5.201587,1355,111,102.719435,24.676496,5.262954087
7.54,0.0821,1.28,1.779,2.632,132,11.36139164,12.73575809,15.77994,875.4053,1917,5.201587,1355,103,102.716284,24.674947,16.4412559
8.10,0.127,2.40,2.873,3.828,132,11.36138677,12.7357575,15.77994,875.4053,1961,5.201587,1355,102,102.714535,24.672549,4.299795517
4.48,0.225,1.94,1.897,1.037,25210,14.05473805,10.32028546,15.52587,919.1609,1869,8.356777,13933,151,103.807653,25.487184,23.52397302
4.67,0.115,2.14,2.121,1.366,1827,14.05473889,10.32028601,15.52587,919.1609,1869,8.356777,13933,149,103.808499,25.487177,0.69100213
7.42,0.0444,1.68,1.568,1.373,100,14.05473567,10.32026573,15.58964,907.6938,1865,2.353986,14398,117,103.816896,25.469993,0.064129962
7.55,0.118,4.65,4.049,1.072,8922,14.05473782,10.32028363,15.49783,912.9941,1875,7.509626,15323,116,103.802109,25.474752,0.203678768
7.79,0.0253,0.88,1.355,0.632,113,14.05473758,10.32027293,15.58964,907.6938,1865,7.997175,14398,98,103.813246,25.471612,0.494075382
7.68,0.0291,1.60,1.983,0.728,113,14.05473834,10.3202861,15.58964,907.6938,1865,10.97054,14623,118,103.814837,25.473243,0.168079086
6.62,0.00275,2.47,2.996,0.921,731,14.0547548,10.32027776,15.546,909.2839,1868,6.594207,14456,136,103.81156,25.454586,0.177227419
6.79,0.00373,2.55,3.004,0.799,731,14.05473769,10.32028688,15.546,909.2839,1868,6.278296,7067,151,103.811456,25.453254,0.139402203
7.66,0.102,4.55,3.346,1.516,731,14.05474267,10.32028814,15.546,909.2839,1868,6.594207,14456,121,103.812091,25.455993,0.482229809
7.05,0.0366,3.96,3.186,1.17,731,14.05474655,10.32029141,15.57735,907.8959,1868,6.594207,14456,140,103.812851,25.454564,0.16282693
7.39,0.0328,2.79,3.53,0.997,731,14.05473896,10.32028408,15.53115,908.8423,1868,6.278296,7067,146,103.811959,25.450147,0.20804605
7.72,0.0192,2.90,3.494,0.851,734,14.05473456,10.3202865,15.53115,908.8423,1868,6.278296,7067,159,103.812446,25.449174,0.113756235
7.63,0.0328,2.90,3.283,0.763,67,14.05473933,10.32028554,15.546,909.2839,1877,8.483982,14526,151,103.804545,25.453801,0.469389489
7.70,0.0182,1.07,1.424,0.548,67,14.05474086,10.32028606,15.46934,910.8322,1877,6.965413,12914,123,103.803056,25.453178,0.109879372
6.88,0.00597,2.60,2.947,0.788,734,14.05474688,10.32029556,15.53115,908.8423,1869,6.455521,6122,133,103.810305,25.443437,0.179588558
7.96,0.0579,2.22,2.568,1.141,200,14.05475651,10.32025931,15.50909,908.4933,1869,6.455521,6122,144,103.8098,25.441602,1.876390838
7.43,0.01,1.86,2.704,0.574,200,14.05472552,10.32028978,15.50909,908.4933,1869,6.455521,6122,153,103.812067,25.440356,0.433754534
7.80,0.0229,1.10,1.487,0.667,200,14.05474866,10.32028336,15.50909,908.4933,1883,6.455521,6122,146,103.808439,25.436669,0.073521005
7.57,0.0327,2.56,3.358,0.94,1004,14.05474005,10.32028674,15.57147,910.3723,1864,1.094342,5974,106,103.829823,25.427888,0.85572807
7.74,0.15,3.71,4.558,1.375,1004,14.05475978,10.32029936,15.57147,910.3723,1864,1.094342,5974,116,103.830933,25.428468,102.2866755
7.77,0.0607,1.99,2.598,0.839,1004,14.05475025,10.32029234,15.57147,910.3723,1864,1.094342,5974,154,103.832693,25.429537,3.670808362
7.65,0.107,2.96,2.798,1.468,698,14.05474274,10.32028716,15.51992,911.9362,1867,9.978909,6087,118,103.824523,25.425112,0.827708409
7.84,0.101,2.32,2.344,1.164,1073,14.05473459,10.32028667,15.51992,911.9362,1867,9.978909,6087,126,103.824961,25.424866,10.44393104
7.84,0.0522,2.86,3.369,1.282,698,14.05472107,10.32031787,15.55569,909.373,1867,4.675205,7236,148,103.822278,25.428178,1.835986119
6.77,0.0496,3.09,4.121,1.627,698,14.05472,10.32028109,15.55569,909.373,1867,4.675205,7236,158,103.822669,25.427649,11.35001
7.37,0.171,4.36,4.8,2.365,3538,14.05473875,10.32028693,15.54371,912.1874,1867,6.45789,5983,161,103.830084,25.421113,2.147132426
